的	的 的话 的确
境	境 境界 境内 境地 境遇
若	若 若干 若是
印	印 印象 印度 印刷 印度洋 印第安人
刻	刻 刻苦 刻划 刻度 刻画
激	激 激动 激烈 激发 激素 激起
孔	孔 孔子 孔雀
搞	搞 搞好 搞活 搞上去
甚	甚 甚至 甚么 甚至于
室	室 室内 室温 室外
待	待 待遇 待业
核	核 核心 核算 核酸 核定 核准
散	散 散文 散步 散发 散射 散布
侵	侵 侵略 侵犯 侵入 侵略者 侵蚀
甲	甲 甲烷 甲板 甲状腺
游	游 游戏 游泳 游击队 游击 游行
久	久 久久 久而久之
菜	菜 菜园
味	味 味道 味儿
旧	旧 旧社会 旧式
湖	湖 湖南 湖北 湖泊 湖水 湖边
货	货 货币 货物 货源 货款
弹	弹 弹性 弹簧 弹药 弹力
损	损 损失 损害 损伤 损耗 损坏
预	预 预测 预备 预防 预报 预先
阻	阻 阻碍 阻止 阻力 阻挡 阻塞
毫	毫 毫无 毫不 毫升 毫米 毫克
普	普 普遍 普通 普及 普遍性 普通话
稳	稳 稳定 稳定性 稳固 稳步 稳重
乙	乙 乙醇 乙烯 乙炔
妈	妈 妈妈 妈的
植	植 植物 植株 植物体 植被 植树
扩	扩 扩大 扩张 扩展 扩散 扩大再生产
银	银 银行 银子 银幕 银河系
语	语 语言 语音 语法 语义 语言学
挥	挥 挥手 挥发 挥动
酒	酒 酒精 酒杯 酒店
守	守 守恒 守卫 守法
拿	拿 拿出 拿起 拿来 拿到 拿去
序	序 序列
纸	纸 纸上 纸条 纸币 纸张
医	医 医生 医院 医学 医疗 医药
熟	熟 熟悉 熟练 熟人 熟知
缺	缺 缺乏 缺少 缺点 缺陷 缺口
雨	雨 雨水 雨点 雨季 雨量 雨后
针	针 针对 针灸 针对性
刘	刘 刘少奇 刘邦
啊	啊 啊呀
急	急 急忙 急剧 急需 急性 急于
唱	唱 唱歌 唱腔 唱起 唱片 唱戏
误	误 误差 误解 误会
训	训 训练 训练班
愿	愿 愿意 愿望
审	审 审美 审判 审查 审理 审批
附	附 附近 附着 附加 附属 附有
血	血 血液 血管 血缘 血压 血汗
伯	伯 伯伯 伯父
获	获 获得 获取 获奖 获胜
茶	茶 茶叶 茶馆 茶杯 茶几
鲜	鲜 鲜明 鲜血 鲜花 鲜艳 鲜红
粮	粮 粮食
孩	孩 孩子 孩儿
脱	脱 脱离 脱落 脱下 脱节 脱去
硫	硫 硫酸 硫酸铜
肥	肥 肥料 肥沃 肥皂 肥大 肥力
善	善 善于 善良 善恶 善意
龙	龙 龙国正 龙头 龙王
演	演 演员 演出 演奏 演变 演化
父	父 父亲 父母 父子
渐	渐 渐渐
欢	欢 欢迎 欢乐 欢喜 欢呼 欢快
掌	掌 掌握 掌声 掌柜 掌柜的 掌管
歌	歌 歌曲 歌声 歌唱 歌颂 歌舞
沙	沙 沙漠 沙发 沙滩 沙俄 沙沙
著	著 著名 著作 著称 著述
刚	刚 刚才 刚刚 刚好
攻	攻 攻击 攻克 攻势 攻占 攻打
谓	谓 谓语
讨	讨 讨论 讨厌 讨论会 讨好
晚	晚 晚上 晚饭 晚期 晚年 晚会
粒	粒 粒子
燃	燃 燃烧 燃料 燃着
矛	矛 矛盾 矛头
杀	杀 杀死 杀人 杀害 杀菌
药	药 药物 药品 药材 药水 药用
宁	宁 宁静 宁可 宁愿 宁夏 宁肯
鲁	鲁 鲁迅
贵	贵 贵族 贵州 贵重
钟	钟 钟头 钟声
煤	煤 煤炭 煤矿 煤油 煤气
读	读 读者 读书 读过 读到 读数
班	班 班长 班级 班主任 班子 班里
句	句 句子 句法
香	香 香港 香烟 香味 香蕉 香气
迫	迫 迫切 迫使 迫害
介	介 介绍 介质 介于 介绍信
丰	丰 丰富 丰收 丰满 丰富多彩 丰产
培	培 培养 培育 培训 培植 培养基
握	握 握手 握住
担	担 担任 担心 担负 担子 担保
蛋	蛋 蛋白质 蛋白
沉	沉 沉重 沉默 沉思 沉淀 沉积
假	假 假如 假设 假说 假定 假使
穿	穿 穿过 穿着 穿上 穿山甲 穿插
执	执 执行 执政 执照
答	答 答应 答案 答道 答复
谁	谁 谁知 谁知道 谁家
顺	顺 顺利 顺序 顺着 顺手 顺便
烟	烟 烟囱 烟雾 烟草 烟袋
缩	缩 缩小 缩短
征	征 征服 征收 征求 征税
脸	脸 脸上 脸色 脸孔 脸蛋 脸颊
喜	喜 喜欢 喜爱 喜悦 喜剧 喜鹊
松	松 松树 松鼠 松弛 松软 松林
脚	脚 脚步 脚下 脚步声 脚印 脚上
困	困 困难 困境 困苦 困惑
异	异 异常 异性 异样 异化 异物
免	免 免疫 免得 免费 免除 免不了
背	背 背后 背景 背着 背上 背影
星	星 星期 星星 星期天 星际 星系
福	福 福建 福利 福州 福音 福气
纤	纤 纤维
买	买 买卖 买来 买办 买到 买主
染	染 染色体 染色 染上 染料
井	井 井冈山
概	概 概念 概括 概率 概括性 概况
慢	慢 慢慢 慢性 慢吞吞
怕	怕 怕是
磁	磁 磁场 磁力 磁铁 磁性 磁带
祖	祖 祖国 祖先 祖宗 祖父 祖母
皇	皇 皇帝 皇后 皇上 皇家
薄	薄 薄弱 薄膜
促	促 促进 促使 促成
静	静 静止 静脉 静悄悄 静态 静电
补	补 补充 补偿 补贴 补给 补助
评	评 评价 评论 评为 评选 评定
翻	翻 翻译 翻身 翻滚 翻开 翻腾
肉	肉 肉体 肉眼 肉食
践	践 践踏
尼	尼 尼龙
衣	衣 衣服 衣裳 衣着 衣襟 衣袋
宽	宽 宽阔 宽大 宽敞 宽度 宽广
扬	扬 扬起 扬州
棉	棉 棉花 棉袄 棉衣 棉布 棉被
希	希 希望 希腊 希特勒 希尔伯特
伤	伤 伤心 伤害 伤员 伤口 伤亡
操	操 操作 操纵 操心 操场
藏	藏 藏族
垂	垂 垂直 垂体 垂下
秋	秋 秋天 秋季 秋风 秋收 秋后
宜	宜 宜昌
氢	氢 氢气 氢氧化钠 氢原子
露	露 露出 露天
笔	笔 笔记 笔者 笔下 笔墨 笔直
督	督 督促
振	振 振动 振荡 振兴 振奋
架	架 架子
亮	亮 亮子 亮光 亮相
末	末 末期 末端 末年 末了
宪	宪 宪法 宪兵 宪章
庆	庆 庆祝
绿	绿 绿色 绿化 绿叶 绿色植物 绿洲
编	编 编制 编辑 编写 编成 编码
牛	牛 牛顿 牛奶 牛全德 牛肉 牛皮
触	触 触动 触及 触角 触犯 触发
映	映 映出
雷	雷 雷锋 雷达 雷雨 雷鸣 雷暴
销	销 销售 销售额 销路 销售量 销货
诗	诗 诗人 诗歌 诗意 诗句 诗经
座	座 座谈会 座位 座谈 座落
居	居 居民 居住 居然 居于 居多
抓	抓 抓住 抓紧 抓好 抓起 抓着
裂	裂 裂缝
呼	呼 呼吸 呼唤 呼吁 呼喊 呼啸
娘	娘 娘家
景	景 景象 景色 景物
威	威 威胁 威信 威力 威严 威风
晶	晶 晶体 晶莹
厚	厚 厚度
衡	衡 衡量
鸡	鸡 鸡蛋
孙	孙 孙中山 孙子 孙悟空 孙子兵法
延	延 延长 延安 延伸 延续 延缓
危	危 危险 危机 危害 危急 危及
胶	胶 胶体
屋	屋 屋里 屋子 屋顶 屋内 屋外
乡	乡 乡村 乡镇企业 乡下 乡亲们 乡下人
临	临 临时 临床 临走 临近 临死
陆	陆 陆地 陆续 陆军 陆上
顾	顾 顾客 顾问 顾虑 顾及 顾不上
掉	掉 掉下
奇	奇 奇怪 奇迹 奇特 奇异 奇妙
灯	灯 灯光 灯泡 灯火 灯笼 灯丝
岁	岁 岁月 岁时 岁数
措	措 措施
束	束 束缚
耐	耐 耐心 耐力
剧	剧 剧本 剧烈 剧场 剧种 剧团
玉	玉 玉米 玉华
赵	赵 赵紫阳 赵丹 赵强
跳	跳 跳舞 跳跃 跳下 跳动 跳到
哥	哥 哥哥 哥白尼
季	季 季节 季度 季风 季节性
课	课 课题 课程 课堂 课本 课文
胡	胡 胡子 胡耀邦 胡适 胡须 胡说
额	额 额头 额上 额定 额外
齐	齐 齐全 齐声
款	款 款式
卷	卷 卷起
伟	伟 伟大
蒸	蒸 蒸发 蒸气 蒸汽机 蒸汽 蒸腾
殖	殖 殖民地 殖民 殖民者
永	永 永远 永恒 永久 永不
宗	宗 宗教 宗旨 宗法 宗教信仰 宗教改革
苗	苗 苗木 苗族 苗子
炉	炉 炉子
岩	岩 岩石 岩层
弱	弱 弱点
零	零 零售 零件 零星 零下
杨	杨 杨勇 杨柳 杨虎城
沿	沿 沿着 沿海 沿岸 沿途 沿用
杆	杆 杆菌
探	探 探索 探讨 探测器 探测 探求
滑	滑 滑动 滑稽
镇	镇 镇压 镇上 镇静 镇定
饭	饭 饭店 饭碗 饭菜 饭馆 饭后
浓	浓 浓度 浓厚 浓郁 浓缩 浓密
航	航 航行 航空 航海 航天 航线
怀	怀 怀疑 怀里 怀念 怀抱 怀孕
赶	赶 赶紧 赶快 赶到 赶上 赶来
库	库 库存 库仑
夺	夺 夺取 夺得 夺去 夺回
伊	伊 伊斯兰教 伊朗 伊拉克 伊犁
灵	灵 灵魂 灵活 灵感 灵敏 灵活性
税	税 税收 税金 税率
途	途 途径 途中
灭	灭 灭亡 灭绝
归	归 归纳 归结 归来 归根到底 归于
召	召 召开 召集 召唤
鼓	鼓 鼓励 鼓舞 鼓吹 鼓动 鼓起
播	播 播种 播放 播出
盘	盘 盘旋 盘子 盘算
裁	裁 裁判
险	险 险恶
康	康 康德 康有为 康熙
唯	唯 唯一 唯心主义 唯物主义 唯有 唯物辩证法
录	录 录音机 录取 录用
纯	纯 纯粹 纯洁 纯净 纯朴 纯收入
借	借 借鉴 借助 借口 借助于 借款
糖	糖 糖果 糖类
盖	盖 盖上
横	横 横向 横行
符	符 符合 符号
私	私 私人 私有制 私有 私营 私有财产
努	努 努力
堂	堂 堂屋 堂堂
枪	枪 枪声 枪毙
幅	幅 幅度
哈	哈 哈哈 哈哈大笑 哈尔滨
竟	竟 竟然 竟是
虫	虫 虫卵 虫子
脑	脑 脑袋 脑子 脑海 脑筋 脑力劳动
碳	碳 碳酸钠 碳水化合物 碳酸钙
欧	欧 欧洲 欧美 欧姆
遍	遍 遍及 遍地 遍布
侧	侧 侧面 侧重
敢	敢 敢于
彻	彻 彻底
恶	恶 恶劣 恶化 恶心 恶性 恶毒
斜	斜 斜面 斜坡
庭	庭 庭院
纳	纳 纳入 纳税 纳闷
塞	塞 塞进
饲	饲 饲料 饲养 饲养员
折	折 折射 折磨 折腾 折旧 折断
伸	伸 伸出 伸手 伸长 伸展 伸向
麦	麦 麦子 麦加
湿	湿 湿润 湿度 湿热
暗	暗 暗暗 暗示 暗中 暗自 暗淡
荷	荷 荷兰 荷花
瓦	瓦 瓦解
床	床 床上 床前 床边 床头 床铺
卡	卡 卡车 卡片
户	户 户口
访	访 访问
透	透 透明 透过 透镜 透露 透视
梁	梁 梁启超
刀	刀 刀子
旋	旋 旋转 旋律 旋风
迹	迹 迹象
氯	氯 氯气 氯化钠 氯酸钾
遇	遇 遇到 遇见 遇上 遇着
份	份 份量
毒	毒 毒性 毒素 毒蛇 毒害 毒气
泥	泥 泥土 泥沙 泥浆 泥坑
退	退 退休 退出 退化 退回
洗	洗 洗澡 洗涤 洗脸 洗净 洗衣机
摆	摆 摆脱 摆动 摆手 摆布 摆出
灰	灰 灰色 灰尘
彩	彩 彩色 彩电
卖	卖 卖给 卖国
耗	耗 耗费
圈	圈 圈子 圈儿
夏	夏 夏季 夏天 夏克明
忙	忙 忙碌 忙于
铜	铜 铜鼓
献	献 献身 献给 献出
硬	硬 硬度 硬是 硬化 硬要
予	予 予以
削	削 削弱 削减
繁	繁 繁殖 繁荣 繁多 繁重 繁华
雪	雪 雪白 雪花 雪山
函	函 函数
亦	亦 亦即 亦可
抽	抽 抽象 抽出 抽烟 抽屉 抽象思维
篇	篇 篇章 篇幅
阵	阵 阵地
阴	阴 阴谋 阴影 阴阳 阴沉 阴暗
丁	丁 丁字
尺	尺 尺度 尺寸
追	追 追求 追逐 追究 追问 追赶
堆	堆 堆积 堆放
盛	盛 盛行 盛有 盛开 盛大
雄	雄 雄伟 雄厚 雄壮 雄蕊 雄性
迎	迎 迎接 迎面 迎着 迎风 迎合
泛	泛 泛滥
爸	爸 爸爸
楼	楼 楼上 楼房 楼梯 楼下
避	避 避免 避开
谋	谋 谋生 谋略 谋求
野	野 野兽 野外 野蛮 野生 野心
猪	猪 猪肉
旗	旗 旗帜 旗袍 旗号
累	累 累计
偏	偏 偏偏 偏见 偏离 偏向 偏差
典	典 典型 典礼 典范
索	索 索性 索泓一 索马里 索取
秦	秦 秦始皇 秦汉 秦国
脂	脂 脂肪 脂肪酸
潮	潮 潮湿 潮流 潮水 潮汐
爷	爷 爷爷
豆	豆 豆腐
忽	忽 忽然 忽视 忽略 忽听 忽地
托	托 托尔斯泰 托儿所 托人
惊	惊 惊人 惊讶 惊奇 惊异 惊醒
塑	塑 塑造 塑料 塑像
遗	遗 遗传 遗产 遗留 遗憾 遗传学
愈	愈 愈来愈 愈加
朱	朱 朱德 朱占标
替	替 替代 替换
粗	粗 粗糙 粗暴 粗大 粗壮 粗略
倾	倾 倾向 倾斜 倾听 倾向性 倾诉
尚	尚 尚未 尚不 尚书
痛	痛 痛苦 痛快 痛哭 痛心 痛恨
谢	谢 谢谢 谢绝
奋	奋 奋斗 奋勇 奋力 奋战 奋起
购	购 购买 购买力 购销 购置 购进
磨	磨 磨损
君	君 君主 君子
池	池 池塘 池水
旁	旁 旁边 旁人 旁的
碎	碎 碎片
骨	骨 骨干 骨头 骨骼 骨髓
监	监 监督 监视 监狱
捕	捕 捕捉 捕鱼 捕捞 捕食 捕获
弟	弟 弟弟 弟兄 弟子
暴	暴 暴露 暴力 暴动 暴雨 暴风雨
割	割 割据 割裂 割断
贯	贯 贯彻 贯穿 贯串
释	释 释放
词	词 词汇 词义 词语 词典 词组
亡	亡 亡国
壁	壁 壁画 壁上
顿	顿 顿时
宝	宝 宝贵 宝贝 宝石 宝库 宝座
午	午 午饭 午后 午夜 午餐
尘	尘 尘埃 尘土
闻	闻 闻名 闻到 闻声
揭	揭 揭示 揭露 揭开 揭发
炮	炮 炮弹 炮火 炮兵
残	残 残酷 残余 残废 残留 残暴
冬	冬 冬季 冬天
桥	桥 桥梁 桥头
妇	妇 妇女 妇人
警	警 警察 警惕 警告 警长 警报
综	综 综合 综合性 综上所述 综合利用
招	招 招呼 招待 招生 招收 招手
吴	吴 吴佩孚 吴刚 吴作人
付	付 付出 付款
浮	浮 浮游 浮动 浮现
遭	遭 遭到 遭受 遭遇
徐	徐 徐徐 徐州 徐悲鸿
摇	摇 摇头 摇摇头 摇晃 摇动 摇摆
谷	谷 谷子 谷物 谷地
赞	赞 赞成 赞扬 赞美 赞叹 赞同
箱	箱 箱子
隔	隔 隔离 隔壁 隔绝 隔开
订	订 订货 订立
男	男 男女 男子 男人 男性 男孩
吹	吹 吹来
园	园 园林 园地
纷	纷 纷纷
唐	唐 唐代 唐朝 唐太宗
败	败 败坏
宋	宋 宋代 宋朝
玻	玻 玻璃 玻璃窗
巨	巨 巨大 巨额 巨型 巨人 巨浪
耕	耕 耕地 耕作 耕种
坦	坦 坦克 坦白 坦率 坦然
荣	荣 荣誉 荣获
闭	闭 闭上 闭合 闭幕
剥	剥 剥削 剥削阶级 剥夺 剥削者
凡	凡 凡是
驻	驻 驻地 驻扎 驻军
锅	锅 锅炉 锅里
救	救 救国 救济 救命 救出 救灾
恩	恩 恩格斯
凝	凝 凝结 凝固 凝聚 凝视 凝神
碱	碱 碱性
截	截 截然不同 截至
炼	炼 炼钢 炼丹
麻	麻 麻烦 麻醉 麻雀 麻痹 麻木
纺	纺 纺织
禁	禁 禁止 禁不住 禁区 禁锢 禁忌
废	废 废除 废物 废气 废墟
版	版 版画
缓	缓 缓慢 缓和 缓缓 缓解
净	净 净化
婚	婚 婚姻 婚姻法 婚礼 婚后 婚事
涉	涉 涉及
嘴	嘴 嘴里 嘴唇 嘴巴 嘴角 嘴上
插	插 插入 插进 插上 插嘴 插图
岸	岸 岸上 岸边
朗	朗 朗诵
粘	粘 粘膜 粘液 粘土 粘性
庄	庄 庄稼 庄严 庄重 庄稼人 庄子
街	街 街道 街上 街头
姑	姑 姑娘 姑姑
贸	贸 贸易
腐	腐 腐朽 腐蚀 腐败 腐烂
奴	奴 奴隶 奴隶主 奴隶制 奴隶社会 奴役
惯	惯 惯性 惯例
乘	乘 乘机 乘客 乘坐
伙	伙 伙伴 伙计 伙食
扎	扎 扎实 扎扎实实 扎根
恢	恢 恢复
匀	匀 匀速 匀称
纱	纱 纱布
辩	辩 辩证 辩证法 辩证唯物主义 辩护 辩论
耳	耳 耳朵 耳边 耳目 耳光
亿	亿 亿万
抵	抵 抵抗 抵制 抵抗力 抵达 抵押
脉	脉 脉搏
秀	秀 秀丽 秀才
萨	萨 萨满 萨满教
俄	俄 俄国 俄罗斯 俄语
网	网 网络 网点 网状
舞	舞 舞蹈 舞台 舞剧 舞蹈家 舞姿
店	店 店里 店铺
喷	喷 喷出 喷射
纵	纵 纵队 纵横 纵向 纵深 纵然
汗	汗 汗水 汗珠
挂	挂 挂在 挂上 挂钩
洪	洪 洪水 洪流
贺	贺 贺龙 贺诚
闪	闪 闪烁 闪电 闪光 闪闪 闪亮
柬	柬 柬埔寨
爆	爆 爆发 爆炸
津	津 津津有味
稻	稻 稻谷 稻田 稻草
墙	墙 墙上 墙壁 墙角
软	软 软弱 软件 软化
勇	勇 勇敢 勇气 勇于 勇士
像	像 像是
滚	滚 滚滚 滚动
厘	厘 厘米
蒙	蒙 蒙古 蒙古族
芳	芳 芳香
肯	肯 肯定
坡	坡 坡度
柱	柱 柱子 柱头
荡	荡 荡漾
腿	腿 腿上
仪	仪 仪器 仪式 仪表
旅	旅 旅行 旅游 旅客 旅馆 旅长
尾	尾 尾巴 尾部
冰	冰 冰川 冰雪 冰晶 冰山 冰块
贡	贡 贡献
登	登 登记 登上 登陆 登载 登山
黎	黎 黎明 黎小玲
钻	钻 钻进 钻研 钻到 钻出
秘	秘 秘密 秘书 秘书长
逃	逃 逃避 逃走 逃跑 逃亡 逃出
障	障 障碍 障碍物
氨	氨 氨基酸 氨水
郭	郭 郭亮 郭沫若
港	港 港口
伏	伏 伏特
轨	轨 轨道 轨迹
亩	亩 亩产
毕	毕 毕业 毕竟 毕业生 毕生
莫	莫 莫斯科 莫名其妙 莫非 莫大 莫不
刺	刺 刺激 刺刀
浪	浪 浪费 浪漫主义 浪花 浪漫 浪潮
援	援 援助
健	健 健康 健全 健壮 健美
售	售 售价 售货员
股	股 股票 股份 股长
岛	岛 岛上 岛屿
甘	甘 甘心 甘肃 甘蔗
泡	泡 泡沫
睡	睡 睡觉 睡着 睡眠
童	童 童年 童话
铸	铸 铸造
休	休 休息 休眠 休养
汇	汇 汇报 汇集 汇率
舍	舍 舍不得 舍得 舍弃
牧	牧 牧场 牧草 牧师 牧民
绕	绕 绕过
炸	炸 炸弹 炸药
哲	哲 哲学 哲学家 哲理
磷	磷 磷酸
朋	朋 朋友 朋友们
淡	淡 淡淡 淡水
尖	尖 尖锐 尖端 尖刀 尖子
启	启 启发 启示 启蒙 启迪 启动
陷	陷 陷入 陷于
呈	呈 呈现
徒	徒 徒弟
颜	颜 颜色 颜料
泪	泪 泪水 泪珠 泪花
稍	稍 稍稍 稍微
忘	忘 忘记 忘掉 忘却
蓝	蓝 蓝色 蓝天
拖	拖 拖拉机 拖延
洞	洞 洞里 洞口 洞穴
弄	弄 弄清 弄到
授	授 授予 授权
镜	镜 镜头 镜子 镜面
辛	辛 辛苦 辛勤 辛亥革命 辛酸
壮	壮 壮大 壮丽 壮观 壮族 壮烈
锋	锋 锋利 锋芒
贫	贫 贫困 贫农 贫下中农 贫穷 贫苦
虚	虚 虚伪 虚构 虚假 虚心 虚实
佛	佛 佛教 佛像 佛经
弯	弯 弯曲 弯腰
摩	摩 摩擦 摩擦力 摩托车 摩尔 摩尔根
泰	泰 泰国
幼	幼 幼虫 幼儿 幼苗 幼年 幼儿园
尊	尊 尊重 尊敬 尊严
窗	窗 窗外 窗户 窗口 窗子 窗前
纲	纲 纲领
隶	隶 隶属
氏	氏 氏族
疑	疑 疑问 疑惑 疑心 疑虑
宫	宫 宫廷 宫殿
姐	姐 姐姐 姐妹
震	震 震动 震惊 震撼
瑞	瑞 瑞士 瑞典
怪	怪 怪物 怪不得 怪事
尤	尤 尤其 尤为
琴	琴 琴声
循	循 循环
描	描 描写 描述 描绘
违	违 违反 违背 违法
夹	夹 夹杂 夹角
腰	腰 腰带 腰间
缘	缘 缘故
穷	穷 穷人 穷苦 穷尽
森	森 森林
枝	枝 枝条 枝叶 枝上 枝头
竹	竹 竹子 竹竿 竹林
沟	沟 沟通 沟里
催	催 催化剂 催促 催化
绳	绳 绳子 绳索
剩	剩 剩下 剩余价值 剩余 剩余产品
幸	幸 幸福 幸而 幸运 幸亏 幸好
栏	栏 栏杆
拥	拥 拥有 拥护 拥挤 拥抱
牙	牙 牙齿
贮	贮 贮存 贮藏
礼	礼 礼貌 礼物 礼堂 礼仪 礼拜
咱	咱 咱们 咱俩
罢	罢 罢了 罢工
拍	拍 拍摄 拍打
喊	喊 喊道 喊声 喊叫
袖	袖 袖子
埃	埃 埃及
勤	勤 勤劳 勤奋 勤工俭学
罚	罚 罚款
焦	焦 焦急 焦点 焦虑 焦距 焦耳
潜	潜 潜力 潜在 潜伏 潜意识 潜入
墨	墨 墨西哥 墨水
欲	欲 欲望
缝	缝 缝隙
姓	姓 姓名 姓氏
刊	刊 刊物 刊登
饱	饱 饱和 饱满
仿	仿 仿佛 仿效
畜	畜 畜牧业 畜牧
奖	奖 奖励 奖金 奖章
鬼	鬼 鬼子 鬼神
跨	跨 跨进 跨过
默	默 默默
挖	挖 挖掘
扫	扫 扫荡 扫除 扫描
喝	喝 喝酒 喝水
污	污 污染 污水 污染物
诸	诸 诸如 诸葛亮 诸位 诸侯 诸多
梅	梅 梅花 梅兰芳
奶	奶 奶奶 奶牛
洁	洁 洁白 洁净
灾	灾 灾难 灾害 灾区
鉴	鉴 鉴定 鉴别 鉴于 鉴赏
抱	抱 抱住 抱怨 抱歉 抱起
毁	毁 毁灭 毁坏
懂	懂 懂得 懂事
寒	寒 寒冷 寒风 寒潮
智	智 智力 智慧 智能 智育
寄	寄 寄生 寄托 寄主 寄生虫 寄来
跃	跃 跃进
渡	渡 渡过
挑	挑 挑战 挑选 挑起 挑水 挑剔
丹	丹 丹麦
艰	艰 艰苦 艰难 艰巨 艰苦奋斗 艰辛
贝	贝 贝多芬 贝壳 贝类
碰	碰 碰到 碰上 碰撞 碰见
拔	拔 拔出
爹	爹 爹妈
戴	戴 戴上
码	码 码头
梦	梦 梦中 梦想 梦境 梦幻 梦见
熔	熔 熔点 熔化
赤	赤 赤道 赤裸裸
渔	渔 渔业 渔民 渔船 渔场
哭	哭 哭声 哭泣
铅	铅 铅笔
敬	敬 敬爱 敬意 敬礼
颗	颗 颗粒
奔	奔 奔跑 奔驰 奔走 奔腾 奔去
仲	仲 仲裁
虎	虎 虎子
稀	稀 稀少 稀疏 稀薄 稀释 稀有
妹	妹 妹妹 妹子
珍	珍 珍贵 珍珠 珍惜
申	申 申请 申诉
桌	桌 桌上 桌子
遵	遵 遵守 遵循 遵照 遵义
允	允 允许
隆	隆 隆重 隆起 隆隆
螺	螺 螺旋
仓	仓 仓库
魏	魏 魏晋
锐	锐 锐利
晓	晓 晓得
氮	氮 氮气 氮肥
兼	兼 兼顾 兼任 兼并
隐	隐 隐藏 隐蔽 隐约 隐隐 隐瞒
拨	拨 拨款 拨乱反正
忠	忠 忠实 忠诚 忠于
肃	肃 肃清
牵	牵 牵动 牵连 牵涉
抢	抢 抢救 抢劫 抢先 抢险
博	博 博士 博物馆 博得
巧	巧 巧妙
兄	兄 兄弟 兄妹
杜	杜 杜威 杜鹃 杜甫 杜文杰
诚	诚 诚恳 诚实 诚然
碧	碧 碧绿
巡	巡 巡视 巡逻 巡捕
矩	矩 矩形
悲	悲 悲剧 悲哀 悲惨 悲痛 悲伤
灌	灌 灌溉 灌木 灌输
寻	寻 寻找 寻求 寻觅 寻常
伦	伦 伦理 伦敦 伦理学
桂	桂 桂林 桂英 桂花
铺	铺 铺子 铺上 铺盖
圣	圣 圣经 圣人 圣地
恐	恐 恐怕 恐惧 恐怖 恐慌 恐龙
恰	恰 恰当 恰好 恰恰 恰巧 恰恰相反
郑	郑 郑重 郑州
趣	趣 趣味
抬	抬 抬起 抬头 抬高
荒	荒 荒凉 荒地 荒唐 荒谬 荒山
腾	腾 腾出
柔	柔 柔软 柔和
滴	滴 滴入
猛	猛 猛烈 猛地 猛然
劲	劲 劲头
妻	妻 妻子
填	填 填补 填写 填充
撤	撤 撤销 撤退
储	储 储存 储蓄 储备 储量
签	签 签订 签字
扰	扰 扰乱 扰动
紫	紫 紫色 紫外线 紫菜
递	递 递给 递增
戏	戏 戏曲 戏剧 戏剧性 戏台
陶	陶 陶冶 陶醉 陶瓷 陶器
喂	喂 喂养
疗	疗 疗效 疗法
瓶	瓶 瓶子
婆	婆 婆婆
抚	抚 抚摸 抚养
摸	摸 摸索 摸出 摸到
忍	忍 忍不住 忍受 忍耐 忍心 忍住
蜡	蜡 蜡烛
邻	邻 邻居 邻近
胸	胸 胸前 胸脯 胸部 胸膛 胸口
巩	巩 巩固
挤	挤 挤出 挤满
偶	偶 偶然 偶尔 偶然性 偶像
乳	乳 乳房 乳头 乳汁 乳白色
邓	邓 邓小平 邓颖超
吉	吉 吉林
砖	砖 砖头
租	租 租界 租赁
乌	乌 乌云 乌龟 乌黑 乌鸦 乌鲁木齐
舰	舰 舰队
伴	伴 伴随 伴奏 伴有 伴侣
瓜	瓜 瓜分
暂	暂 暂时 暂行
橡	橡 橡胶 橡皮
柳	柳 柳青 柳树 柳条 柳州
迷	迷 迷信 迷人 迷惑 迷失
暖	暖 暖和 暖流
牌	牌 牌子
胆	胆 胆子 胆怯 胆量
详	详 详细 详尽
踏	踏 踏上 踏实 踏进
呆	呆 呆呆 呆板
宾	宾 宾馆 宾语 宾客
糊	糊 糊涂
洛	洛 洛阳
辉	辉 辉煌
愤	愤 愤怒 愤慨 愤恨
竞	竞 竞争 竞赛 竞选 竞技
怒	怒 怒火 怒吼
乃	乃 乃是 乃至
肩	肩 肩膀 肩上 肩头 肩负
敏	敏 敏感 敏锐 敏捷
涂	涂 涂上
皆	皆 皆有
侦	侦 侦察 侦查 侦探
悬	悬 悬挂 悬殊 悬浮 悬崖
享	享 享受 享有 享乐
纠	纠 纠正 纠纷 纠缠
醒	醒 醒来 醒目
狂	狂 狂风 狂热
淀	淀 淀粉
恨	恨 恨不得
牲	牲 牲口 牲畜
霸	霸 霸占 霸权主义
爬	爬 爬上 爬到 爬行 爬行动物
玩	玩 玩具 玩笑 玩意 玩艺 玩弄
祝	祝 祝贺 祝福 祝月
浙	浙 浙江
彼	彼 彼此
鸭	鸭 鸭子
趋	趋 趋势 趋向 趋于
凤	凤 凤凰
秩	秩 秩序
卵	卵 卵巢 卵细胞
梯	梯 梯度 梯形 梯田
炎	炎 炎热 炎症
驱	驱 驱逐 驱使
筛	筛 筛选
峡	峡 峡谷
冒	冒 冒险 冒出 冒充
寿	寿 寿命
浸	浸 浸润 浸泡
泉	泉 泉水
帽	帽 帽子
迟	迟 迟疑 迟缓 迟到 迟钝 迟迟
差	差 差异 差别 差不多 差距 差点
贷	贷 贷款
漏	漏 漏斗
稿	稿 稿子 稿件
冠	冠 冠军
牢	牢 牢固 牢牢
叛	叛 叛徒 叛乱 叛变
奥	奥 奥运会 奥秘 奥地利
羊	羊 羊毛 羊群
凭	凭 凭借 凭着 凭证
串	串 串联
