一	一ＹＩ
隆	阝夂
怖	忄巾
赏	尚贝Ｓ
晨	日厂ｒ
刃	刀丶Ｒ
媚	女尸目
耐	丆皿寸
拖	扌也
丰	丰ＦＧ
码	石马Ｍ
诚	讠戊
律	彳彐干
乃	乃ＮＩ
赫	土亦亦
曹	西日Ｃ
岂	山己Ｑ
固	囗古Ｇ
洁	氵吉Ｊ
盾	十目
社	礻土Ｓ
郭	高子阝
骗	马户冊
滑	氵骨Ｈ
霄	雨冃
隔	阝一冂
纸	纟Ｃ七
戴	十戈八
额	宀各页
惹	艹心
撤	扌充攵
荒	艹亡川
季	禾子Ｊ
延	丿止廴
痴	疒矢口
锁	钅贝
旗	族其Ｑ
撒	扌攵
郁	冃阝
典	冂八
颇	皮页Ｐ
侯	亻尸矢
园	囗元Ｙ
振	扌厂ｒ
仪	亻丶乂
省	少目Ｓ
猎	犭日
殊	歹朱Ｓ
绪	纟者Ｘ
跪	
玛	王马Ｍ
抚	扌干乚
油	氵由Ｙ
委	禾女Ｗ
纹	纟文Ｗ
泉	白水Ｑ
滴	氵啇Ｄ
洪	氵八
启	户口Ｑ
供	亻八
忌	己心Ｊ
拦	扌首二
祭	祭示Ｊ
妻	十彐女
贴	贝占Ｔ
妇	女彐Ｆ
庆	广大Ｑ
擦	扌宀示
币	丿巾Ｂ
婚	女Ｃ日
牢	宀牛Ｌ
仁	亻二Ｒ
甘	廿一Ｇ
奶	女乃Ｎ
径	彳又工
倾	亻匕页
符	亻寸
赌	贝者Ｄ
钻	钅占Ｚ
蛮	亦虫Ｍ
矮	矢禾女
唉	口厶矢
堡	亻口土
馆	饣宀官
宜	宀且Ｙ
姿	冫欠女
爽	大乂乂
堪	土其乚
焦	焦ＪＯ
劈	尸辛刀
零	雨亽
薄	落甫寸
扰	扌尢丶
艘	舟叟Ｓ
耶	耳阝Ｙ
牧	牜攵Ｍ
益	首八皿
朗	丶艮月
挣	扌亅
递	丷弓辶
匆	勹彳丶
肖	冃Ｘ
婷	女亮丁
亏	二ＳＫ
袍	衤包Ｐ
燃	火丶灬
扯	扌止Ｃ
叛	半反Ｐ
胁	月力八
拒	扌匚尸
肚	月土Ｄ
皆	比白Ｊ
柱	木主Ｚ
墨	黑土Ｍ
董	艹千里
砸	石匚巾
莎	落少Ｓ
液	氵亠夂
辆	车两Ｌ
途	余辶Ｔ
岩	山石Ｙ
芳	艹方Ｆ
慰	尸寸心
户	户ＨＵ
烂	火首二
欺	其欠Ｑ
针	钅十Ｚ
砍	石欠Ｋ
筑	工几
醉	酉亠十
扔	扌乃Ｒ
洲	氵州Ｚ
协	十力八
驾	加马Ｊ
享	高子Ｘ
漠	氵莫Ｍ
巫	工人人
莹	营王丶
撑	扌尚手
郑	丷大阝
眨	目丿之
赢	赢贝Ｙ
恼	忄文凵
珍	王人彡
虫	虫ＣＧ
康	广彐水
椅	木大可
俩	亻两Ｌ
旅	族丿ｒ
货	亻匕贝
减	冫戊一
尝	云Ｃ
盈	乃又皿
愧	忄白儿
邦	丰阝Ｂ
骇	马亥Ｈ
餐	卜又食
埋	土里Ｍ
瑟	王心丿
抛	扌九力
吻	口勹彳
敲	高卜又
猫	犭艹田
侵	亻彐又
弯	亦弓Ｗ
茫	落亡Ｍ
悔	忄母
喘	口山皿
穴	穴ＸＥ
玲	王亽
勾	勹厶Ｇ
哎	口艹乂
截	十戈隹
舌	舌ＳＥ
肃	彐川Ｓ
牵	大冖牛
例	亻歹刂
庭	广壬廴
彼	彳皮Ｂ
宙	宀由Ｚ
氏	Ｃ七Ｓ
夹	夫丷Ｊ
霜	雨木目
仗	亻丈Ｚ
济	氵文刂
吕	口口Ｌ
渊	氵刂米
卓	卜日十
甜	舌廿一
笼	龙Ｌ
柄	木一内
嘉	吉首加
诡	讠
姆	女母Ｍ
脖	月十子
爹	父夕夕
霍	雨隹Ｈ
抹	扌末Ｍ
艺	艹乙Ｙ
倩	亻青Ｑ
秒	禾少Ｍ
昂	日Ｃ卩
踢	日勹
哀	衣口Ａ
末	末ＭＯ
奉	干Ｆ
劝	又力Ｑ
腹	月夂
钢	钅冂乂
宏	宀厶
爪	爪ＺＡ
挤	扌文刂
泽	氵又干
鸿	氵工鸟
核	木亥Ｈ
侠	亻夫丷
猪	犭者Ｚ
疾	疒矢Ｊ
瓶	首廾瓦
僵	亻一一
乘	禾丬匕
寂	宀小又
粮	米丶艮
聪	耳丷心
诱	讠禾乃
懒	忄木负
搭	扌艹口
潮	氵十月
鹏	月月鸟
魏	禾女儿
咐	口亻寸
鸡	又鸟Ｊ
肤	月夫Ｆ
薇	艹微几
弥	弓小
瓦	瓦ＷＡ
央	央ＹＧ
勉	儿力
川	川ＣＮ
屈	尸出Ｑ
耸	人人耳
匹	匚儿Ｐ
尺	尺ＣＩ
喂	口田ｒ
丧	十首ｒ
悍	忄日干
悬	且厶心
拾	扌亼口
晴	日青Ｑ
亿	亻乙Ｙ
讯	讠乙十
溜	氵刀田
魄	白白儿
帕	巾白Ｐ
括	扌舌Ｋ
孟	子皿Ｍ
乔	丿大刂
怔	忄一止
蕾	艹雨田
搜	扌叟Ｓ
诗	讠土寸
偶	亻甲冂
均	土勹冫
童	立里Ｔ
覆	覀彳夂
厌	厂大丶
悦	忄丷儿
载	十戈车
掠	扌高小
垂	千垂Ｃ
琪	王其Ｑ
泄	氵世Ｘ
霞	雨丨又
港	氵巳
袁	土口ｒ
臭	丿目大
衡	彳亍
构	木勹厶
肌	月几Ｊ
词	讠一
纤	纟千Ｘ
票	覀示Ｐ
诀	讠夬Ｊ
饰	饣巾
噬	口工
宠	宀龙Ｃ
脏	月广土
袖	衤由Ｘ
键	钅彐廴
穷	穴力Ｑ
泥	氵尸匕
驻	马主Ｚ
眸	目厶牛
航	舟亠几
辞	舌辛Ｃ
乡	丝丿Ｘ
催	亻山隹
宿	宀亻日
慎	忄十八
魅	白儿未
撕	扌其斤
逆	丷山辶
凑	冫大
缝	纟夂辶
歉	首兼欠
授	扌受Ｓ
甩	月乚Ｓ
映	日央Ｙ
岸	山厂干
凰	几白王
唱	口日日
奸	女干Ｊ
陵	阝土夂
崇	山宀示
枚	木攵Ｍ
读	讠十头
暖	日爫又
扩	扌广Ｋ
狮	犭一巾
瑶	王爫缶
沿	氵几口
渡	氵广又
稀	禾乂巾
搂	扌米女
恋	亦心Ｌ
捏	扌日土
饶	饣戈儿
吩	口分Ｆ
笨	木一
返	反辶Ｆ
赖	木口负
斥	斤丶Ｃ
贤	刂又贝
煞	攵灬
询	讠勹日
斜	余斗Ｘ
撼	扌戊心
眯	目米Ｍ
铺	钅甫Ｐ
咳	口亥Ｋ
浅	氵一戈
尬	尢人刂
尴	尢刂
齿	止人凵
洒	氵西Ｓ
督	卜又目
奖	丬夕大
卑	卑ＢＩ
染	氵九木
促	亻足Ｃ
弗	弓刂Ｆ
娅	女亚Ｙ
麽	广林厶
泛	氵丿之
契	丰刀大
酷	酉告Ｋ
罚	罒讠刂
络	纟各Ｌ
埃	土厶矢
课	讠日木
屠	尸者Ｔ
祸	礻口内
汇	氵匚Ｈ
疗	疒乛亅
赐	贝日勹
刑	一廾刂
夸	大二Ｓ
雕	冂土隹
检	木亼兴
祥	礻羊Ｘ
俗	亻谷Ｓ
俱	亻且八
摔	扌亠十
屏	尸首廾
麦	夂Ｍ
闯	门马Ｃ
予	丁Ｙ
矿	石广Ｋ
恒	忄一一
郡	彐丿阝
呜	口乌Ｗ
疲	疒皮Ｐ
迈	丆辶
寸	寸ＣＮ
详	讠羊Ｘ
亭	亮丁Ｔ
巡	巛辶Ｘ
滋	氵首幺
葛	艹勹乚
婴	贝贝女
录	彐水Ｌ
涛	氵丰寸
冠	冖元寸
枝	木十又
翅	十又羽
窜	穴口丨
昆	日比Ｋ
婉	女宀
妃	女己Ｆ
矛	才Ｍ
蝶	虫世木
瘦	疒叟Ｓ
编	纟户冊
俏	亻冃
贪	亽乛贝
繁	攵小
绵	纟白巾
棋	木其Ｑ
斧	父斤Ｆ
裹	衣日木
姜	女Ｊ
氛	气分Ｆ
後	彳幺夂
乾	十十乙
拨	扌发Ｂ
慈	首幺心
瞒	目艹两
嫣	女一Ｓ
咕	口古Ｇ
屑	尸冃
铃	钅亽
辱	厂ｒ寸
雀	小隹Ｑ
冯	冫马Ｆ
允	厶儿Ｙ
樱	木贝女
愈	亼前心
宾	穴丘Ｂ
晰	日木斤
掏	扌勹缶
措	扌日
啪	口扌白
誓	扌斤言
农	巾ｒＮ
糟	米西日
驶	马口乂
捉	扌足Ｚ
祝	礻口儿
朕	月丷大
咯	口各Ｋ
扮	扌分Ｂ
淫	氵爫壬
鼠	臼鼠Ｓ
畏	田ｒＷ
羊	羊ＹＧ
驱	马匚乂
恰	忄亼口
璃	王文冂
芙	艹夫Ｆ
烁	火Ｃ小
岚	山风Ｌ
梯	木丷弓
裁	十戈衣
韵	立日勹
咽	口囗大
辕	车土ｒ
夕	夕ＸＩ
涯	氵厂圭
卢	卜尸Ｌ
碍	石日寸
幅	巾畐Ｆ
扇	户羽Ｓ
愕	忄口Ｓ
芸	艹云Ｙ
哇	口圭Ｗ
润	氵门王
崩	山月月
县	且厶Ｘ
杖	木丈Ｚ
汤	氵Ｊ彳
翠	羽亠十
健	亻彐廴
箱	木目
恍	忄儿
骷	骨古Ｋ
捕	扌甫Ｂ
育	充冃Ｙ
猴	犭尸矢
遮	广廿辶
泡	氵包Ｐ
麟	鹿米舛
扣	扌口Ｋ
鼎	目爿片
溃	氵贵Ｋ
娃	女圭Ｗ
髅	骨米女
逍	冃辶
述	木丶辶
豹	豸勹丶
评	讠干丷
献	Ｍ大丶
涂	氵余Ｔ
序	广丁
铜	钅冂一
饮	饣欠Ｙ
灾	宀火Ｚ
湿	氵日业
冬	夂冫Ｄ
贫	分贝Ｐ
汹	氵乂凵
党	尚儿Ｄ
棒	木干
贯	毌贝Ｇ
串	口口丨
丛	人人一
昌	日日Ｃ
棍	木日比
嫁	女宀豕
弘	弓厶Ｈ
肥	月巴Ｆ
穆	禾白彡
挖	扌穴乙
阔	门氵舌
跌	失Ｄ
丑	丑ＣＵ
赚	贝首兼
披	扌皮Ｐ
漆	氵木氺
奏	一大
贺	加贝Ｈ
喉	口尸矢
酸	酉厶夂
捷	扌一止
卧	匚丨卜
凄	冫十女
割	宀口刂
违	二卩辶
役	彳殳Ｙ
坛	土云Ｔ
砰	石干丷
筋	月力
裸	衤日木
井	井ＪＧ
涨	氵弓长
沐	氵木Ｍ
仓	仓ＣＧ
巍	山女儿
宴	宀日女
饿	饣手戈
鞭	革亻丈
馨	声殳日
瓜	瓜ＧＡ
骚	马又虫
匪	匚非Ｆ
耻	耳止Ｃ
妄	亡女Ｗ
肆	Ｅ厶干
宛	宀夕
裤	衤广车
蠢	虫虫
龟	日乚
妥	爫女Ｔ
霆	雨壬廴
雯	雨文Ｗ
吵	口少Ｃ
驰	马也Ｃ
嫩	女木攵
审	宀日丨
戈	戈ＧＥ
款	士示欠
桥	木丿刂
诧	讠宀七
晌	日白口
勃	十子力
搬	扌舟殳
仆	亻卜Ｐ
漏	氵尸雨
械	木戈廾
彭	吉首彡
盔	火皿
灌	氵艹隹
桃	木ＫＫ
黛	代黑Ｄ
黎	禾勹氺
饱	饣包Ｂ
欠	欠ＱＮ
抑	扌Ｃ卩
疆	弓土一
嘶	口其斤
辣	辛木口
纠	纟丩Ｊ
签	亼兴
购	贝勹厶
镖	钅覀示
揉	扌木
愚	甲冂心
勤	廿力
誉	兴八言
鄙	口囗阝
衫	衤彡Ｓ
珊	王册Ｓ
弩	女又弓
呈	口王Ｃ
腕	月宀
怡	忄厶口
坠	阝人土
腥	月日
培	土立口
牲	牜丿
窝	穴口内
障	阝章Ｚ
锦	钅白巾
蓉	萱谷Ｒ
拢	扌龙Ｌ
瞳	目立里
麒	鹿比其
析	木斤Ｘ
脾	月卑Ｐ
涩	氵刀止
蓦	莫马Ｍ
铠	钅山己
嘲	口十月
毅	立豕殳
僧	亻丷日
尉	尸示寸
寺	土寸Ｓ
链	钅车辶
邀	白攵辶
企	人止Ｑ
蜜	宀心虫
骤	马又乑
趴	八Ｐ
频	止少页
挨	扌厶矢
蒋	艹丬寸
卿	Ｇ艮卩
植	木十且
刷	尸巾刂
厂	厂ＣＧ
歪	不一止
嚣	口口口
琼	王高小
耍	丆皿女
龄	止凵
拟	扌以Ｎ
崖	山厂圭
寨	宀井朩
伐	亻戈Ｆ
丘	丘ＱＵ
柯	木可Ｋ
磊	石石石
晋	亚日Ｊ
艰	又艮Ｊ
竞	立口儿
碗	石宀
慨	忄艮旡
涉	氵止少
艇	舟壬廴
谨	讠廿
荷	艹亻可
跨	大Ｓ
浴	氵谷Ｙ
舱	舟仓Ｃ
颠	十八页
趟	走尚Ｔ
盒	亼口皿
撇	扌丷攵
骄	马丿刂
逊	子小辶
坑	土亠几
柜	木匚尸
摧	扌山隹
崔	山隹Ｃ
幼	幺力Ｙ
愁	禾火心
仑	人匕Ｌ
姨	女大弓
踩	爫木
谅	讠高小
坤	土日丨
绑	纟丰阝
锤	钅千垂
哑	口亚Ｙ
贾	覀贝Ｊ
宰	宀辛Ｚ
乳	爫子乚
陌	阝丆日
惠	士日心
竖	刂又立
销	钅冃
叮	口丁Ｄ
访	讠方Ｆ
虹	虫工Ｈ
绽	纟宀止
沾	氵占Ｚ
添	氵一
沃	氵丿大
挽	扌儿
迦	加辶Ｊ
舟	舟ＺＵ
堵	土者Ｄ
鹿	鹿比Ｌ
纱	纟少Ｓ
巾	巾ＪＮ
荆	艹廾刂
薛	艹追辛
绩	纟贝
捂	扌五口
枯	木古Ｋ
腐	广亻内
兔	兔ＴＵ
凛	冫亠示
夷	大弓Ｙ
梵	林几丶
哗	口匕十
绳	纟口乚
靖	立青Ｊ
搏	扌甫寸
斌	文一弋
颈	又工页
筹	丰寸
逝	扌斤辶
厨	厂一寸
辅	车甫Ｆ
逗	一口辶
藤	艹月氺
盼	目分Ｐ
咦	口大弓
尹	彐丿Ｙ
呃	口厂
芬	艹分Ｆ
狸	犭里Ｌ
矩	矢匚尸
憾	忄戊心
膝	月木氺
雁	厂亻隹
胳	月各Ｇ
咧	口歹刂
沌	氵七凵
於	方人冫
墓	莫土Ｍ
畅	日丨Ｊ
擅	扌亠一
冻	冫七小
摊	扌又隹
黯	黑立日
泣	氵立Ｑ
楞	木罒方
叉	又丶Ｃ
籍	耒日
牺	牜西Ｘ
敖	敖ＡＯ
哄	口八
铭	钅夕口
霉	雨母
躬	身弓Ｇ
淋	氵林Ｌ
膊	月甫寸
嫌	女首兼
歇	日乚欠
捧	扌干
痒	疒羊Ｙ
塌	土日羽
嚷	口衣口
涵	氵乛凵
旨	匕日Ｚ
灿	火山Ｃ
摄	扌耳又
削	冃刂
茵	艹囗大
嘟	口者阝
匕	匕ＢＩ
膛	月尚土
拱	扌八
肢	月十又
眠	目巳七
珑	王龙Ｌ
伪	亻冫力
斤	斤ＪＮ
逛	犭王辶
惶	忄白王
励	厂丆力
儒	亻雨皿
陡	阝走Ｄ
仲	亻口丨
瞄	目艹田
哨	口冃
羡	冫欠
掀	扌斤欠
辽	乛亅辶
沟	氵勹厶
墅	里土
汽	氵气Ｑ
档	木彐
隶	彐水Ｌ
描	扌艹田
俘	亻爫子
蜂	虫夂丰
呐	口内Ｎ
哲	扌斤口
卒	亠人十
赔	贝立口
裙	衤彐口
哮	口耂子
寿	丰寸Ｓ
攀	木木手
杆	木干Ｇ
旺	日王Ｗ
寇	宀元卜
吾	五口Ｗ
篮	刂皿
狄	犭火Ｄ
储	亻讠者
鉴	刂金
嘀	口啇Ｄ
虏	虍力Ｌ
嚎	口亮豕
赋	贝一弋
隙	阝小小
炉	火户Ｌ
呻	口日丨
殷	彐殳
污	氵二Ｓ
辩	辛讠辛
篇	户冊
嗓	口又木
吊	口巾Ｄ
播	扌丿田
颊	夫丷页
偿	亻云
冤	冖兔Ｙ
耿	耳火Ｇ
俯	亻广寸
俄	亻手戈
躁	口木
狞	犭宁Ｎ
嗔	口十八
廖	广羽彡
罕	干Ｈ
狡	犭亠父
溅	氵贝戈
蹲	酋寸
焕	火大
缕	纟米女
嘎	口丆戈
烤	火耂丂
渴	氵日勹
篷	夂辶
乏	丿之Ｆ
擒	扌人冂
棠	尚木Ｔ
粒	米立Ｌ
祺	礻其Ｑ
惩	彳一心
患	口口心
谦	讠首兼
汪	氵王Ｗ
押	扌甲Ｙ
辨	辛刂辛
蛛	虫朱Ｚ
歹	歹ＤＩ
蕴	艹纟皿
沸	氵弓刂
遣	虫官辶
陶	阝勹缶
迁	千辶Ｑ
版	片反Ｂ
咆	口包Ｐ
彷	彳方Ｐ
囊	十口ｒ
劣	少力Ｌ
芝	艹之Ｚ
潇	氵艹川
鳞	鱼米舛
甫	甫ＦＵ
逢	夂丰辶
玫	王攵Ｍ
狈	犭贝Ｂ
邓	又阝Ｄ
侦	亻卜贝
炽	火口八
竭	立日勹
讽	讠风Ｆ
挠	扌戈儿
拓	扌石Ｔ
戮	羽彡戈
订	讠丁Ｄ
苟	艹勹口
娶	耳又女
蔡	艹祭示
丸	九丶Ｗ
佐	亻工
宅	宀丿七
厢	厂木目
驳	马乂乂
拐	扌另Ｇ
昭	日召Ｚ
弦	弓玄Ｘ
淑	氵卜又
叠	又又且
俞	亼前Ｙ
辜	古辛Ｇ
兼	首彐兼
吱	口十又
腻	月弋二
础	石出Ｃ
兮	八丂Ｘ
琉	王充川
蓬	艹夂辶
厮	厂其斤
坡	土皮Ｐ
咪	口米Ｍ
朴	木卜Ｐ
妍	女一廾
胎	月厶口
刮	舌刂Ｇ
苗	艹田Ｍ
廊	广丶阝
遵	酋寸辶
蜀	罒勹虫
倭	亻禾女
浸	氵彐又
滞	氵卅巾
梭	木厶夂
湾	氵亦弓
韦	二卩Ｗ
玻	王皮Ｂ
禀	亠囗示
茹	艹女口
敛	亼兴攵
澜	氵门木
聂	耳又又
疏	乛止川
瞎	目宀口
豆	一口首
溢	氵首皿
犬	大丶Ｑ
廉	广首兼
潘	氵丿田
嗦	口十小
祈	礻斤Ｑ
灼	火勹丶
瞥	丷攵目
斑	王文王
顽	元页Ｗ
兹	首幺幺
糕	米灬
昊	日一大
锅	钅口内
缚	纟甫寸
妞	女丑Ｎ
匠	匚斤Ｊ
魁	白儿斗
鹤	冖隹鸟
绯	纟非Ｆ
谎	讠艹川
榜	木旁方
碌	石彐水
拂	扌弓刂
壶	士冖业
昧	日未Ｍ
遁	十辶
蔽	艹巾攵
庙	广由Ｍ
蹄	旁巾
茜	艹西Ｘ
腔	月穴工
堕	阝土
耽	耳巾乚
硕	石页Ｓ
壳	士冖几
彪	虍几彡
肠	月Ｊ彳
钰	钅王丶
岭	山亽
嗡	口八羽
栋	木七小
葬	艹歹廾
冉	冂土Ｒ
挪	扌月阝
鞋	革圭Ｘ
蹦	山月
柴	止匕木
蔓	艹日又
陀	阝宀匕
姊	女丿Ｓ
啧	口贝
妨	女方Ｆ
窃	穴七刀
阎	门臼
盆	分皿Ｐ
焚	林火Ｆ
矢	矢ＳＩ
携	扌隹乃
钉	钅丁Ｄ
帘	穴巾Ｌ
俺	亻大乚
嗤	口屮虫
萝	艹罒夕
沧	氵仓Ｃ
循	彳目
搅	扌学见
渺	氵目少
兀	一儿Ｗ
狭	犭夫丷
戟	十十戈
申	日丨Ｓ
翘	戈儿羽
嘱	口尸冂
拆	扌斤丶
津	氵彐干
贱	贝一戈
汝	氵女Ｒ
暇	日尸又
愉	忄亼前
侄	亻一土
棵	木日木
谭	讠覀十
轨	车九Ｇ
蚁	虫丶乂
啥	口亼古
媒	女廿木
噗	口业丶
锻	钅Ｅ殳
赴	走卜Ｆ
诈	讠乍Ｚ
巢	巛日木
捡	扌亼兴
哟	口纟勹
衷	衣口丨
吁	口于Ｙ
彦	立丿彡
渗	氵厶彡
峡	山夫丷
涡	氵口内
禅	礻丷十
氓	亡巳七
浆	丬夕水
租	禾且Ｚ
阅	门丷口
掐	扌臼
帽	巾日目
揭	扌日勹
妒	女户Ｄ
毙	比歹匕
寞	宀莫Ｍ
孝	耂子Ｘ
乙	乙ＹＩ
贸	Ｃ刀贝
革	革ＧＥ
喔	口尸土
憋	丷攵心
蓄	艹玄田
坎	土欠Ｋ
舅	臼田力
絮	女口小
烛	火虫Ｚ
歆	立日欠
胞	月包Ｂ
翰	十十羽
颖	匕禾页
彤	冂亠彡
唔	口五口
垃	土立Ｌ
圾	土及Ｊ
尧	戈一儿
旭	九日Ｘ
寄	宀大可
喀	口宀各
遂	首豕辶
阱	阝井Ｊ
泊	氵白Ｂ
妾	立女Ｑ
瑰	王白儿
虐	虍ＥＮ
潭	氵覀十
祀	礻巳Ｓ
逻	罒夕辶
璇	王族止
税	禾丷儿
嫂	女叟Ｓ
填	土十八
蛟	虫亠父
怯	忄土厶
滔	氵爫臼
弧	弓瓜Ｈ
惫	夂田心
煌	火白王
雍	亠丿隹
衍	彳氵亍
笛	由Ｄ
庸	广彐冃
兆	ＫＫＺ
咚	口夂冫
暮	莫日Ｍ
卜	卜ＢＵ
裳	尚衣Ｓ
沫	氵末Ｍ
蝎	虫日勹
寡	宀丆分
蚀	饣虫Ｓ
枉	木王Ｗ
粹	米亠十
澡	氵口木
昔	日Ｘ
摘	扌啇Ｚ
瀚	氵人羽
寝	宀丬又
熙	匚巳灬
舜	爫夕舛
售	隹口Ｓ
栽	十戈木
胧	月龙Ｌ
贞	卜贝Ｚ
诅	讠且Ｚ
滩	氵又隹
韧	二卩刀
倚	亻大可
睹	目者Ｄ
栈	木一戈
蝠	虫畐Ｆ
桶	木用
卦	圭卜Ｇ
臀	尸殳冃
狰	犭亅
姚	女ＫＫ
雇	户隹Ｇ
署	罒者Ｓ
狙	犭且Ｊ
泼	氵发Ｐ
诛	讠朱Ｚ
朦	月营豕
栏	木首二
筒	冂一
哧	口土亦
溪	氵爫大
册	册ＣＥ
窥	穴夫见
湘	氵木目
犀	尸氺牛
舔	舌一
剥	彐水刂
磁	石首幺
惕	忄日勹
旷	日广Ｋ
佑	亻口
歼	歹千Ｊ
兜	Ｃ尸儿
窟	穴尸出
枕	木巾乚
囚	囗人Ｑ
裴	非衣Ｐ
胀	月长Ｚ
楠	木Ｍ首
觑	虍业见
擂	扌雨田
拽	扌日乚
捣	扌鸟山
蕊	艹心心
巷	八巳
乞	乙Ｑ
谱	讠首日
蚩	屮一虫
哩	口里Ｌ
琢	王豕丶
垒	厶厶土
胃	田冃Ｗ
虞	虍口大
绣	纟禾乃
衰	衣口Ｓ
扁	户冊Ｂ
菩	艹立口
颅	卜尸页
骆	马各Ｌ
抄	扌少Ｃ
菁	艹青Ｊ
纽	纟丑Ｎ
贡	工贝Ｇ
噢	口白大
桓	木一一
绮	纟大可
戚	戊卜一
惟	忄隹Ｗ
慑	忄耳又
罡	罒一止
喧	口宀一
衙	彳五亍
瑜	王亼前
岗	山冂乂
侃	亻口川
祷	礻丰寸
萍	落干丷
剂	文刂刂
莽	艹大廾
诞	讠丿廴
轴	车由Ｚ
嘘	口虍业
烫	氵Ｊ火
咙	口龙Ｌ
鞘	革冃
丞	乛水一
剿	巛木刂
孽	艹追子
淘	氵勹缶
翎	亽羽
翁	八厶羽
恕	女口心
衬	衤寸Ｃ
倦	亻
揽	扌见
疚	疒丶
轿	车丿刂
秃	禾几Ｔ
猾	犭骨Ｈ
钦	钅欠Ｑ
嗜	口耂日
掷	扌丷阝
藉	艹耒日
鸦	一才鸟
陨	阝口贝
熬	敖灬Ａ
窍	穴工丂
郝	土亦阝
芷	艹止Ｚ
咖	口加Ｋ
勋	口贝力
铸	钅丰寸
叨	口刀Ｄ
乍	乍ＺＡ
磕	石土皿
扳	扌反Ｂ
霎	雨立女
姥	女耂匕
棺	木宀官
奢	大者Ｓ
辟	尸口辛
叙	余又Ｘ
畜	玄田Ｘ
嫉	女疒矢
蜘	虫矢口
搁	扌门各
钥	钅月Ｙ
陋	阝一乚
茅	艹才
倏	亻夂大
瘫	疒又隹
菊	艹勹米
匙	日止匕
翩	户冊羽
倘	亻尚Ｔ
擎	艹攵手
趋	走彐
窄	穴乍Ｚ
峻	山厶夂
啡	口非Ｆ
嗽	口木欠
醋	酉日
酥	酉禾Ｓ
伺	亻一
恳	艮心Ｋ
粘	米占Ｎ
哆	口夕夕
绞	纟亠父
绷	纟月月
丐	一卜Ｓ
渠	氵匚木
娱	女口大
佘	人示Ｓ
淌	氵尚Ｔ
履	尸彳夂
塑	丷月土
症	疒一止
衔	彳钅亍
蔑	艹罒戊
禽	人文冂
傀	亻白儿
蛊	虫皿Ｇ
炀	火Ｊ彳
捞	扌营力
蒸	艹乛灬
缄	纟戊一
嗖	口叟Ｓ
炫	火玄Ｘ
眩	目玄Ｘ
歧	止十又
邱	丘阝Ｑ
挟	扌夫丷
帆	巾几丶
莺	营鸟Ｙ
渔	氵鱼Ｙ
敞	尚攵Ｃ
绰	纟卜十
淳	氵高子
厥	厂丷欠
瞟	目覀示
霹	雨尸辛
疤	疒巴Ｂ
柏	木白Ｂ
徽	微幺小
讪	讠山Ｓ
猿	犭土ｒ
沮	氵且Ｊ
眶	目匚王
页	页ＹＥ
卸	止卩
宵	宀冃
惭	忄车斤
菱	艹土夂
踹	山皿
肿	月口丨
萱	萱一一
斐	非文Ｆ
钩	钅勹厶
瓷	冫欠瓦
雳	雨厂力
茂	艹戊Ｍ
肺	月一巾
届	尸由Ｊ
鹫	高丶鸟
碑	石卑Ｂ
儡	亻田田
蝉	虫丷十
夭	丿大Ｙ
娟	女口冃
曰	曰ＹＥ
淮	氵隹Ｈ
拘	扌勹口
搓	扌工
捅	扌用
豁	宀口谷
亨	高乛亅
荐	艹Ｐ子
漩	氵族止
捆	扌囗木
沼	氵召Ｚ
迭	失辶Ｄ
侮	亻母
叱	口匕Ｃ
槐	木白儿
迸	首廾辶
扛	扌工Ｋ
屡	尸米女
鲍	鱼包Ｂ
脊	ＫＫ月
忖	忄寸Ｃ
婢	女卑Ｂ
栗	覀木Ｌ
驼	马宀匕
贩	贝反Ｆ
芦	艹户Ｌ
拎	扌亽
彬	林彡Ｂ
姗	女册Ｓ
淹	氵大乚
怠	厶口心
钧	钅勹冫
嗅	口丿大
樊	木木大
弛	弓也Ｃ
霓	雨臼儿
揍	扌大
喽	口米女
汁	氵十Ｚ
惮	忄丷十
邻	亽阝
蟒	虫艹廾
衅	丿皿半
瘾	疒阝心
账	贝长Ｚ
览	刂见
妩	女干乚
厦	厂丆夂
妆	丬女Ｚ
芊	艹千Ｑ
抿	扌巳七
喻	口亼前
吏	丈口Ｌ
澈	氵充攵
砖	石二
僻	亻尸辛
倪	亻臼儿
挫	扌人土
杏	木口Ｘ
襄	衣口口
桐	木冂一
矣	厶矢Ｙ
噩	王口口
揪	扌禾火
拧	扌宁Ｎ
燥	火口木
郊	亠父阝
喇	口木刂
沦	氵人匕
蚂	虫马Ｍ
阮	阝元Ｒ
帖	巾占Ｔ
戬	亚日戈
铲	钅立丿
孕	乃子Ｙ
跺	几木
巅	山八页
敦	高子攵
婪	林女Ｌ
蹈	爫臼
蹭	丷日
株	木朱Ｚ
凹	凹ＡＯ
婿	女乛冃
嬉	女吉口
盐	土卜皿
冀	丬匕八
膜	月莫Ｍ
剪	首前刀
鞠	革勹米
桂	木圭Ｇ
盏	一戈皿
襟	衤林示
逞	口王辶
棘	木冂木
焉	一Ｓ灬
跋	犮Ｂ
呕	口匚乂
稚	禾隹Ｚ
嵌	山廿欠
熠	火羽白
颓	禾几页
妓	女十又
穹	穴弓Ｑ
邵	召阝Ｓ
涣	氵大
债	亻贝
梧	木五口
勿	勹彳Ｗ
墟	土虍业
焱	火火火
桩	木广土
脯	月甫Ｆ
镶	钅衣口
拭	扌弋工
